Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1 (s),Ch0_time2 (s),Ch0_amp2 (V),Ch0_width2 (s),Ch1_time1 (s),Ch1_amp1 (V),Ch1_width1 (s),Ch1_time2 (s),Ch1_amp2 (V),Ch1_width2 (s)
2.708e-06,0.075712,6.212241e-08,0.0,0.0,0.0,2.72e-06,0.116888,6.021505e-08,0.0,0.0,0.0
2.712e-06,0.06011,7.981532e-08,0.0,0.0,0.0,2.748e-06,0.061656,1.05218e-07,0.0,0.0,0.0
2.7e-06,0.070328,6.2251e-08,0.0,0.0,0.0,2.72e-06,0.074228,7.020848e-08,0.0,0.0,0.0
2.66e-06,0.236885,6.54423e-08,0.0,0.0,0.0,2.728e-06,0.057718,7.786124e-08,0.0,0.0,0.0
2.664e-06,0.238315,6.831343e-08,0.0,0.0,0.0,2.696e-06,0.068009,5.96087e-08,0.0,0.0,0.0
2.68e-06,0.192684,6.087085e-08,0.0,0.0,0.0,2.704e-06,0.160285,7.769505e-08,0.0,0.0,0.0
2.652e-06,0.320825,6.525389e-08,0.0,0.0,0.0,2.684e-06,0.176008,6.343951e-08,0.0,0.0,0.0
2.7e-06,0.086113,6.237947e-08,0.0,0.0,0.0,2.712e-06,0.204833,6.555892e-08,0.0,0.0,0.0
2.616e-06,0.379422,6.683174e-08,0.0,0.0,0.0,2.652e-06,0.445066,7.127621e-08,0.0,0.0,0.0
2.696e-06,0.098405,5.826184e-08,0.0,0.0,0.0,2.72e-06,0.094571,6.715034e-08,0.0,0.0,0.0
2.728e-06,0.277353,7.02217e-08,0.0,0.0,0.0,2.784e-06,0.361509,7.388215e-08,0.0,0.0,0.0
2.676e-06,0.119989,6.938908e-08,0.0,0.0,0.0,2.7e-06,0.103999,6.572933e-08,0.0,0.0,0.0
2.636e-06,0.370265,6.905105e-08,0.0,0.0,0.0,2.668e-06,0.083819,7.788336e-08,0.0,0.0,0.0
2.696e-06,0.076611,6.051593e-08,0.0,0.0,0.0,2.712e-06,0.370247,7.296942e-08,0.0,0.0,0.0
2.64e-06,0.372345,6.33461e-08,0.0,0.0,0.0,2.672e-06,0.110255,6.91372e-08,0.0,0.0,0.0
