Trigger Count=21049	Output Count=1847	Elapsed Time=06:19.492	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=5682	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=20.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
2.708000E-6	0.068640	6.526082E-8	0.000000	0.000000	0.000000	2.728000E-6	0.129632	6.373316E-8	0.000000	0.000000	0.000000
2.676000E-6	0.159254	6.314725E-8	0.000000	0.000000	0.000000	2.708000E-6	0.052115	6.883762E-8	0.000000	0.000000	0.000000
2.676000E-6	0.162179	6.508403E-8	0.000000	0.000000	0.000000	2.704000E-6	0.084410	6.487196E-8	0.000000	0.000000	0.000000
2.700000E-6	0.095870	6.325140E-8	0.000000	0.000000	0.000000	2.716000E-6	0.221448	7.007206E-8	0.000000	0.000000	0.000000
2.696000E-6	0.097272	6.193111E-8	0.000000	0.000000	0.000000	2.712000E-6	0.112776	6.474815E-8	0.000000	0.000000	0.000000
2.692000E-6	0.111788	6.842020E-8	0.000000	0.000000	0.000000	2.716000E-6	0.113424	6.532106E-8	0.000000	0.000000	0.000000
2.656000E-6	0.258093	6.617307E-8	0.000000	0.000000	0.000000	2.684000E-6	0.110506	6.202714E-8	0.000000	0.000000	0.000000
2.704000E-6	0.073803	6.317995E-8	0.000000	0.000000	0.000000	2.712000E-6	0.248942	8.178205E-8	0.000000	0.000000	0.000000
2.680000E-6	0.183487	5.819985E-8	0.000000	0.000000	0.000000	2.708000E-6	0.109383	7.437120E-8	0.000000	0.000000	0.000000
2.664000E-6	0.165594	6.984339E-8	0.000000	0.000000	0.000000	2.692000E-6	0.083235	7.618612E-8	0.000000	0.000000	0.000000
2.684000E-6	0.129088	6.933787E-8	0.000000	0.000000	0.000000	2.712000E-6	0.086762	6.071101E-8	0.000000	0.000000	0.000000
2.708000E-6	0.066265	6.565823E-8	0.000000	0.000000	0.000000	2.740000E-6	0.061491	6.431067E-8	0.000000	0.000000	0.000000
2.672000E-6	0.208360	6.462528E-8	0.000000	0.000000	0.000000	2.708000E-6	0.054450	5.890781E-8	0.000000	0.000000	0.000000
2.672000E-6	0.204315	6.163074E-8	0.000000	0.000000	0.000000	2.708000E-6	0.032246	1.118574E-7	0.000000	0.000000	0.000000
2.632000E-6	0.408526	6.624260E-8	0.000000	0.000000	0.000000	2.652000E-6	0.549630	7.951496E-8	0.000000	0.000000	0.000000
2.696000E-6	0.081323	6.752693E-8	0.000000	0.000000	0.000000	2.728000E-6	0.062777	6.564631E-8	0.000000	0.000000	0.000000
2.676000E-6	0.122154	6.698062E-8	0.000000	0.000000	0.000000	2.704000E-6	0.052621	8.127480E-8	0.000000	0.000000	0.000000
2.636000E-6	0.314771	7.090261E-8	0.000000	0.000000	0.000000	2.660000E-6	0.396933	6.700230E-8	0.000000	0.000000	0.000000
2.676000E-6	0.138380	6.905225E-8	0.000000	0.000000	0.000000	2.696000E-6	0.212306	6.608300E-8	0.000000	0.000000	0.000000
2.688000E-6	0.113497	6.750990E-8	0.000000	0.000000	0.000000	2.720000E-6	0.072673	6.782391E-8	0.000000	0.000000	0.000000
2.692000E-6	0.116874	5.923859E-8	0.000000	0.000000	0.000000	2.720000E-6	0.104373	7.092632E-8	0.000000	0.000000	0.000000
2.704000E-6	0.067145	5.846065E-8	0.000000	0.000000	0.000000	2.736000E-6	0.057875	7.045433E-8	0.000000	0.000000	0.000000
2.632000E-6	0.325156	7.199932E-8	0.000000	0.000000	0.000000	2.660000E-6	0.143744	6.706782E-8	0.000000	0.000000	0.000000
2.684000E-6	0.165146	5.999111E-8	0.000000	0.000000	0.000000	2.708000E-6	0.115943	7.816554E-8	0.000000	0.000000	0.000000
2.676000E-6	0.108174	6.935256E-8	0.000000	0.000000	0.000000	2.700000E-6	0.060269	6.958189E-8	0.000000	0.000000	0.000000
2.656000E-6	0.317572	6.540720E-8	0.000000	0.000000	0.000000	2.680000E-6	0.281860	6.870412E-8	0.000000	0.000000	0.000000
2.688000E-6	0.104946	6.439376E-8	0.000000	0.000000	0.000000	2.708000E-6	0.169278	7.143053E-8	0.000000	0.000000	0.000000
2.696000E-6	0.081641	7.192995E-8	0.000000	0.000000	0.000000	2.728000E-6	0.054666	5.789284E-8	0.000000	0.000000	0.000000
2.680000E-6	0.145563	6.467691E-8	0.000000	0.000000	0.000000	2.716000E-6	0.110425	6.020066E-8	0.000000	0.000000	0.000000
2.668000E-6	0.191386	6.460981E-8	0.000000	0.000000	0.000000	2.688000E-6	0.224841	6.221047E-8	0.000000	0.000000	0.000000
2.660000E-6	0.204798	6.982929E-8	0.000000	0.000000	0.000000	2.680000E-6	0.376263	6.826127E-8	0.000000	0.000000	0.000000
2.636000E-6	0.378711	6.816958E-8	0.000000	0.000000	0.000000	4.900000E-6	0.050151	5.871555E-8	0.000000	0.000000	0.000000
2.708000E-6	0.058504	5.647025E-8	0.000000	0.000000	0.000000	2.728000E-6	0.075236	6.457962E-8	0.000000	0.000000	0.000000
2.592000E-6	0.471140	7.116488E-8	0.000000	0.000000	0.000000	2.616000E-6	0.459258	7.044519E-8	0.000000	0.000000	0.000000
2.664000E-6	0.220656	6.707977E-8	0.000000	0.000000	0.000000	2.684000E-6	0.404041	6.527111E-8	0.000000	0.000000	0.000000
2.712000E-6	0.080675	6.637733E-8	0.000000	0.000000	0.000000	2.724000E-6	0.068257	6.857298E-8	0.000000	0.000000	0.000000
2.636000E-6	0.323996	7.290937E-8	0.000000	0.000000	0.000000	2.664000E-6	0.147964	6.036278E-8	0.000000	0.000000	0.000000
2.688000E-6	0.125605	6.194486E-8	0.000000	0.000000	0.000000	2.708000E-6	0.078619	5.694497E-8	0.000000	0.000000	0.000000
2.716000E-6	0.056468	7.094259E-8	0.000000	0.000000	0.000000	2.732000E-6	0.145553	6.055031E-8	0.000000	0.000000	0.000000
2.664000E-6	0.246731	6.330703E-8	0.000000	0.000000	0.000000	2.696000E-6	0.102390	6.337099E-8	0.000000	0.000000	0.000000
2.688000E-6	0.101169	6.654833E-8	0.000000	0.000000	0.000000	2.716000E-6	0.080379	7.255814E-8	0.000000	0.000000	0.000000
2.700000E-6	0.062258	6.320231E-8	0.000000	0.000000	0.000000	2.716000E-6	0.233017	6.676133E-8	0.000000	0.000000	0.000000
2.692000E-6	0.097587	6.504751E-8	0.000000	0.000000	0.000000	2.708000E-6	0.170407	6.558554E-8	0.000000	0.000000	0.000000
2.700000E-6	0.083453	6.215988E-8	0.000000	0.000000	0.000000	2.724000E-6	0.054590	5.647557E-8	0.000000	0.000000	0.000000
2.668000E-6	0.222111	6.096656E-8	0.000000	0.000000	0.000000	2.708000E-6	0.059733	6.194301E-8	0.000000	0.000000	0.000000
2.620000E-6	0.431540	6.898772E-8	0.000000	0.000000	0.000000	2.652000E-6	0.170879	6.813829E-8	0.000000	0.000000	0.000000
2.680000E-6	0.172811	6.250533E-8	0.000000	0.000000	0.000000	2.704000E-6	0.081062	7.138880E-8	0.000000	0.000000	0.000000
2.676000E-6	0.175245	6.445987E-8	0.000000	0.000000	0.000000	2.688000E-6	0.393185	6.573695E-8	0.000000	0.000000	0.000000
2.708000E-6	0.065232	7.001698E-8	0.000000	0.000000	0.000000	2.728000E-6	0.132494	6.587292E-8	0.000000	0.000000	0.000000
2.640000E-6	0.410389	6.693026E-8	0.000000	0.000000	0.000000	2.664000E-6	0.399631	7.400035E-8	0.000000	0.000000	0.000000
2.632000E-6	0.342777	6.931838E-8	0.000000	0.000000	0.000000	2.660000E-6	0.180547	6.006001E-8	0.000000	0.000000	0.000000
2.660000E-6	0.218324	6.849376E-8	0.000000	0.000000	0.000000	2.688000E-6	0.076399	7.585411E-8	0.000000	0.000000	0.000000
2.652000E-6	0.364992	6.446321E-8	0.000000	0.000000	0.000000	2.680000E-6	0.206834	6.806999E-8	0.000000	0.000000	0.000000
2.700000E-6	0.071835	6.410107E-8	0.000000	0.000000	0.000000	2.720000E-6	0.199543	8.031860E-8	0.000000	0.000000	0.000000
2.712000E-6	0.062593	5.949789E-8	0.000000	0.000000	0.000000	2.728000E-6	0.089486	8.789045E-8	0.000000	0.000000	0.000000
2.716000E-6	0.053499	5.535452E-8	0.000000	0.000000	0.000000	2.736000E-6	0.063342	7.122707E-8	0.000000	0.000000	0.000000
2.676000E-6	0.189912	6.229934E-8	0.000000	0.000000	0.000000	2.712000E-6	0.050257	6.654914E-8	0.000000	0.000000	0.000000
2.708000E-6	0.069475	6.706637E-8	0.000000	0.000000	0.000000	2.728000E-6	0.111992	7.982148E-8	0.000000	0.000000	0.000000
2.652000E-6	0.340135	6.435473E-8	0.000000	0.000000	0.000000	2.684000E-6	0.127240	5.998148E-8	0.000000	0.000000	0.000000
2.676000E-6	0.219878	6.023375E-8	0.000000	0.000000	0.000000	2.696000E-6	0.325201	6.783630E-8	0.000000	0.000000	0.000000
2.640000E-6	0.401627	6.871301E-8	0.000000	0.000000	0.000000	2.664000E-6	0.489564	6.893990E-8	0.000000	0.000000	0.000000
2.632000E-6	0.349322	6.751390E-8	0.000000	0.000000	0.000000	2.664000E-6	0.183620	6.599563E-8	0.000000	0.000000	0.000000
2.680000E-6	0.122070	6.324872E-8	0.000000	0.000000	0.000000	2.712000E-6	0.072436	1.105903E-7	0.000000	0.000000	0.000000
2.680000E-6	0.194272	6.151119E-8	0.000000	0.000000	0.000000	2.716000E-6	0.056733	6.561863E-8	0.000000	0.000000	0.000000
2.692000E-6	0.096725	5.949241E-8	0.000000	0.000000	0.000000	2.712000E-6	0.101838	6.026587E-8	0.000000	0.000000	0.000000
2.684000E-6	0.118971	6.469860E-8	0.000000	0.000000	0.000000	2.708000E-6	0.115882	6.498280E-8	0.000000	0.000000	0.000000
2.704000E-6	0.075927	6.621931E-8	0.000000	0.000000	0.000000	2.720000E-6	0.081701	6.006075E-8	0.000000	0.000000	0.000000
2.640000E-6	0.391076	6.293728E-8	0.000000	0.000000	0.000000	2.668000E-6	0.179159	6.300880E-8	0.000000	0.000000	0.000000
2.704000E-6	0.074050	5.928701E-8	0.000000	0.000000	0.000000	2.728000E-6	0.101588	6.424565E-8	0.000000	0.000000	0.000000
2.708000E-6	0.067825	6.214931E-8	0.000000	0.000000	0.000000	2.728000E-6	0.095071	8.626865E-8	0.000000	0.000000	0.000000
2.696000E-6	0.083677	6.266934E-8	0.000000	0.000000	0.000000	2.712000E-6	0.132783	6.662930E-8	0.000000	0.000000	0.000000
2.716000E-6	0.342094	6.538508E-8	0.000000	0.000000	0.000000	2.736000E-6	0.193494	8.647657E-8	0.000000	0.000000	0.000000
2.684000E-6	0.136567	6.329176E-8	0.000000	0.000000	0.000000	2.704000E-6	0.135368	6.477470E-8	0.000000	0.000000	0.000000
2.692000E-6	0.113367	5.757069E-8	0.000000	0.000000	0.000000	2.720000E-6	0.106087	8.051133E-8	0.000000	0.000000	0.000000
2.680000E-6	0.178146	6.309788E-8	0.000000	0.000000	0.000000	7.160000E-6	0.254201	6.130031E-8	0.000000	0.000000	0.000000
2.660000E-6	0.262074	6.420297E-8	0.000000	0.000000	0.000000	2.696000E-6	0.058696	6.684282E-8	0.000000	0.000000	0.000000
2.624000E-6	0.496032	7.244506E-8	0.000000	0.000000	0.000000	2.648000E-6	0.496070	6.979134E-8	0.000000	0.000000	0.000000
2.680000E-6	0.153790	6.063097E-8	0.000000	0.000000	0.000000	2.712000E-6	0.058357	6.374084E-8	0.000000	0.000000	0.000000
2.696000E-6	0.098141	6.035772E-8	0.000000	0.000000	0.000000	2.708000E-6	0.191130	6.694418E-8	0.000000	0.000000	0.000000
2.648000E-6	0.373581	6.292427E-8	0.000000	0.000000	0.000000	2.676000E-6	0.140643	6.414530E-8	0.000000	0.000000	0.000000
2.624000E-6	0.431079	6.946769E-8	0.000000	0.000000	0.000000	2.656000E-6	0.063839	6.048396E-8	0.000000	0.000000	0.000000
2.684000E-6	0.157149	5.915716E-8	0.000000	0.000000	0.000000	2.708000E-6	0.121094	6.954572E-8	0.000000	0.000000	0.000000
2.660000E-6	0.245502	6.650229E-8	0.000000	0.000000	0.000000	2.680000E-6	0.379128	7.000488E-8	0.000000	0.000000	0.000000
2.672000E-6	0.184917	6.561383E-8	0.000000	0.000000	0.000000	2.704000E-6	0.053025	5.855133E-8	0.000000	0.000000	0.000000
2.712000E-6	0.054193	5.486289E-8	0.000000	0.000000	0.000000	2.728000E-6	0.077516	6.277436E-8	0.000000	0.000000	0.000000
2.652000E-6	0.411596	6.353863E-8	0.000000	0.000000	0.000000	2.680000E-6	0.186721	7.110412E-8	0.000000	0.000000	0.000000
2.704000E-6	0.081905	5.993792E-8	0.000000	0.000000	0.000000	2.728000E-6	0.079856	6.461287E-8	0.000000	0.000000	0.000000
2.720000E-6	0.045740	5.555465E-8	0.000000	0.000000	0.000000	2.732000E-6	0.175777	6.824070E-8	0.000000	0.000000	0.000000
2.680000E-6	0.138996	6.706721E-8	0.000000	0.000000	0.000000	2.696000E-6	0.448631	6.907922E-8	0.000000	0.000000	0.000000
2.644000E-6	0.315305	6.667182E-8	0.000000	0.000000	0.000000	2.668000E-6	0.449720	7.041732E-8	0.000000	0.000000	0.000000
2.708000E-6	0.064713	5.988002E-8	0.000000	0.000000	0.000000	2.732000E-6	0.070391	5.892563E-8	0.000000	0.000000	0.000000
2.688000E-6	0.107709	6.596898E-8	0.000000	0.000000	0.000000	2.716000E-6	0.062828	6.640817E-8	0.000000	0.000000	0.000000
2.696000E-6	0.088377	6.854369E-8	0.000000	0.000000	0.000000	2.708000E-6	0.471594	6.755441E-8	0.000000	0.000000	0.000000
2.672000E-6	0.151247	6.850171E-8	0.000000	0.000000	0.000000	2.688000E-6	0.290520	6.675394E-8	0.000000	0.000000	0.000000
2.680000E-6	0.185302	6.015073E-8	0.000000	0.000000	0.000000	2.704000E-6	0.100406	6.011523E-8	0.000000	0.000000	0.000000
2.684000E-6	0.121839	6.287610E-8	0.000000	0.000000	0.000000	2.708000E-6	0.059139	5.864597E-8	0.000000	0.000000	0.000000
2.704000E-6	0.078767	6.480262E-8	0.000000	0.000000	0.000000	2.724000E-6	0.090061	6.448200E-8	0.000000	0.000000	0.000000
2.684000E-6	0.125818	6.488917E-8	0.000000	0.000000	0.000000	2.704000E-6	0.114303	6.120555E-8	0.000000	0.000000	0.000000
2.624000E-6	0.406490	6.698984E-8	0.000000	0.000000	0.000000	2.644000E-6	0.276200	7.679104E-8	0.000000	0.000000	0.000000
2.628000E-6	0.389650	6.664290E-8	0.000000	0.000000	0.000000	2.668000E-6	0.072073	6.047484E-8	0.000000	0.000000	0.000000
2.704000E-6	0.071354	6.638028E-8	0.000000	0.000000	0.000000	2.712000E-6	0.391209	6.990002E-8	0.000000	0.000000	0.000000
2.688000E-6	0.150283	6.044474E-8	0.000000	0.000000	0.000000	2.708000E-6	0.150510	6.359975E-8	0.000000	0.000000	0.000000
2.712000E-6	0.063940	6.169758E-8	0.000000	0.000000	0.000000	2.720000E-6	0.091313	6.060737E-8	0.000000	0.000000	0.000000
2.652000E-6	0.225015	7.736769E-8	0.000000	0.000000	0.000000	2.684000E-6	0.064030	5.932525E-8	0.000000	0.000000	0.000000
2.640000E-6	0.321858	6.833162E-8	0.000000	0.000000	0.000000	2.660000E-6	0.397639	6.550008E-8	0.000000	0.000000	0.000000
2.716000E-6	0.048974	8.828803E-8	0.000000	0.000000	0.000000	2.736000E-6	0.154728	6.135327E-8	0.000000	0.000000	0.000000
2.704000E-6	0.080064	5.920046E-8	0.000000	0.000000	0.000000	3.156000E-6	0.166436	6.010197E-8	0.000000	0.000000	0.000000
2.680000E-6	0.153844	6.331822E-8	0.000000	0.000000	0.000000	2.700000E-6	0.079286	6.384072E-8	0.000000	0.000000	0.000000
2.684000E-6	0.137217	6.640267E-8	0.000000	0.000000	0.000000	2.712000E-6	0.087290	7.144331E-8	0.000000	0.000000	0.000000
2.664000E-6	0.204992	6.506376E-8	0.000000	0.000000	0.000000	2.688000E-6	0.155267	6.731901E-8	0.000000	0.000000	0.000000
2.680000E-6	0.201610	6.036619E-8	0.000000	0.000000	0.000000	2.700000E-6	0.156407	7.417429E-8	0.000000	0.000000	0.000000
2.664000E-6	0.159063	7.233823E-8	0.000000	0.000000	0.000000	2.688000E-6	0.259549	6.276863E-8	0.000000	0.000000	0.000000
2.720000E-6	0.082348	6.297292E-8	0.000000	0.000000	0.000000	2.720000E-6	0.106948	6.443627E-8	0.000000	0.000000	0.000000
2.696000E-6	0.081937	6.878181E-8	0.000000	0.000000	0.000000	2.712000E-6	0.351635	7.108394E-8	0.000000	0.000000	0.000000
2.692000E-6	0.096174	6.448481E-8	0.000000	0.000000	0.000000	2.708000E-6	0.146380	7.487382E-8	0.000000	0.000000	0.000000
2.720000E-6	0.053206	5.820782E-8	0.000000	0.000000	0.000000	2.732000E-6	0.097978	6.359576E-8	0.000000	0.000000	0.000000
2.672000E-6	0.169595	6.891238E-8	0.000000	0.000000	0.000000	9.312000E-6	0.053786	6.003761E-8	0.000000	0.000000	0.000000
2.704000E-6	0.070652	5.710310E-8	0.000000	0.000000	0.000000	2.720000E-6	0.127225	5.986065E-8	0.000000	0.000000	0.000000
2.700000E-6	0.078420	5.795428E-8	0.000000	0.000000	0.000000	2.720000E-6	0.087895	6.229054E-8	0.000000	0.000000	0.000000
2.736000E-6	0.414440	6.640493E-8	0.000000	0.000000	0.000000	3.716000E-6	0.068530	5.834184E-8	0.000000	0.000000	0.000000
2.700000E-6	0.089304	5.621171E-8	0.000000	0.000000	0.000000	2.724000E-6	0.108037	6.338922E-8	0.000000	0.000000	0.000000
2.700000E-6	0.100909	6.212899E-8	0.000000	0.000000	0.000000	2.720000E-6	0.111470	6.180135E-8	0.000000	0.000000	0.000000
2.700000E-6	0.078710	6.788997E-8	0.000000	0.000000	0.000000	2.720000E-6	0.075330	7.062269E-8	0.000000	0.000000	0.000000
2.656000E-6	0.277511	6.439759E-8	0.000000	0.000000	0.000000	2.680000E-6	0.385191	6.564505E-8	0.000000	0.000000	0.000000
2.708000E-6	0.069781	5.833941E-8	0.000000	0.000000	0.000000	2.720000E-6	0.189256	6.663040E-8	0.000000	0.000000	0.000000
2.632000E-6	0.424700	7.015451E-8	0.000000	0.000000	0.000000	2.668000E-6	0.224660	6.807037E-8	0.000000	0.000000	0.000000
2.624000E-6	0.426752	6.898266E-8	0.000000	0.000000	0.000000	2.648000E-6	0.451558	7.399864E-8	0.000000	0.000000	0.000000
2.704000E-6	0.081226	5.935433E-8	0.000000	0.000000	0.000000	2.728000E-6	0.107530	6.396900E-8	0.000000	0.000000	0.000000
2.636000E-6	0.330947	7.602889E-8	0.000000	0.000000	0.000000	2.660000E-6	0.399955	6.802708E-8	0.000000	0.000000	0.000000
2.708000E-6	0.067698	7.746228E-8	0.000000	0.000000	0.000000	2.736000E-6	0.057782	7.106326E-8	0.000000	0.000000	0.000000
2.640000E-6	0.354975	6.738627E-8	0.000000	0.000000	0.000000	2.680000E-6	0.068395	6.539179E-8	0.000000	0.000000	0.000000
2.688000E-6	0.126838	6.412594E-8	0.000000	0.000000	0.000000	2.716000E-6	0.073643	6.029409E-8	0.000000	0.000000	0.000000
2.720000E-6	0.064809	5.869524E-8	0.000000	0.000000	0.000000	2.720000E-6	0.278389	6.494626E-8	0.000000	0.000000	0.000000
2.700000E-6	0.078814	7.893928E-8	0.000000	0.000000	0.000000	2.716000E-6	0.184019	6.391573E-8	0.000000	0.000000	0.000000
2.720000E-6	0.040115	5.437822E-8	0.000000	0.000000	0.000000	2.736000E-6	0.203000	6.987581E-8	0.000000	0.000000	0.000000
2.700000E-6	0.074316	6.155903E-8	0.000000	0.000000	0.000000	2.720000E-6	0.070648	6.249551E-8	0.000000	0.000000	0.000000
2.672000E-6	0.182149	6.535849E-8	0.000000	0.000000	0.000000	2.692000E-6	0.132558	6.433762E-8	0.000000	0.000000	0.000000
2.636000E-6	0.437793	6.325669E-8	0.000000	0.000000	0.000000	2.664000E-6	0.440687	7.083342E-8	0.000000	0.000000	0.000000
2.708000E-6	0.075712	6.212241E-8	0.000000	0.000000	0.000000	2.720000E-6	0.116888	6.021505E-8	0.000000	0.000000	0.000000
2.712000E-6	0.060110	7.981532E-8	0.000000	0.000000	0.000000	2.748000E-6	0.061656	1.052180E-7	0.000000	0.000000	0.000000
2.700000E-6	0.070328	6.225100E-8	0.000000	0.000000	0.000000	2.720000E-6	0.074228	7.020848E-8	0.000000	0.000000	0.000000
2.660000E-6	0.236885	6.544230E-8	0.000000	0.000000	0.000000	2.728000E-6	0.057718	7.786124E-8	0.000000	0.000000	0.000000
